trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
0,2,10,16.4748607,17.0909822,17.0909822,17.1091124,17.3924395,left,-10,1,1,2.7144783,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
1,2,8,19.8399251,20.3232171,20.3232171,20.3398418,20.6259506,left,-8,1,1,0.9968062,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
2,2,6,21.3431125,21.8429123,21.8429123,21.859278,22.1428461,right,6,1,1,0.7155997,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
3,2,4,22.5756546,23.075815,23.075815,23.075815,23.3758524,right,4,1,1,0.6620684,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
4,2,2,23.7590521,24.259421,24.259421,24.259421,24.5589502,left,-2,1,1,0.7141527,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
5,1,0,24.9918167,25.4917839,25.4917839,25.4917839,25.7920656,left,0,0,0,0.3311762,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
6,1,1,25.8416898,26.3421555,26.3421555,26.3421555,26.6425735,left,-1,1,1,0.4593652,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
7,1,1,26.8239762,27.3247614,27.3247614,27.3247614,27.6246224,left,-1,1,1,0.4961121,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
8,1,1,27.8402498,28.3405074,28.3405074,28.3405074,28.6411287,left,-1,1,1,0.4466403,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
9,0.5,0,28.8217205,29.3067335,29.3067335,29.3242134,29.6080229,right,0,0,0,0.4175931,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
10,0.5,0.5,29.7404901,30.2387023,30.2387023,30.3040111,30.5412165,right,0.5,0,0,0.4182574,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
11,0.5,1,30.6728317,31.1742036,31.1742036,31.1742036,31.4732895,left,-1,1,1,0.3559854,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
12,0.5,1,31.557625,32.0564729,32.0564729,32.0564729,32.3571326,right,1,0,0,0.3466664,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
13,0.5,1.5,32.4237571,32.9239246,32.9239246,32.9239246,33.2238007,left,-1.5,1,1,0.3213431,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
14,0.5,1.5,33.2735692,33.7731129,33.7731129,33.7731129,34.0738257,right,1.5,0,0,0.39619,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
15,0.5,2,34.1899749,34.6896539,34.6896539,34.6896539,34.9896832,right,2,1,1,0.6599577,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
16,0.5,2,35.3867523,35.8718975,35.8718975,35.8896188,36.1857489,right,2,1,1,0.5775379,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
17,0.5,2,36.472147,36.971738,36.971738,36.971738,37.2720752,right,2,1,1,0.4867083,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
18,0.5,1.5,37.4882077,37.9881545,37.9881545,37.9881545,38.2880871,right,1.5,1,1,0.6280867,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
19,0.5,1.5,38.6381675,39.1388109,39.1388109,39.1388109,39.4387989,right,1.5,1,1,0.6093469,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
20,0.5,1.5,39.7722672,40.2715412,40.2715412,40.2874409,40.5709444,right,1.5,1,1,0.8537506,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
21,0.5,1,41.154776,41.6545461,41.6545461,41.6545461,41.9549703,left,-1,0,0,0.5403935,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
22,0.5,1.5,42.2211335,42.7210494,42.7210494,42.7210494,43.0214702,right,1.5,1,1,0.4879574,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
23,0.5,1.5,43.2381968,43.737102,43.737102,43.7536629,44.0377555,right,1.5,1,1,0.5075311,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
24,0.5,1.5,44.2707188,44.7710547,44.7710547,44.7710547,45.070705,right,1.5,1,1,0.4351363,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
25,0.5,1,45.2363044,45.7369552,45.7369552,45.7369552,46.0369786,right,1,1,1,0.6392872,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
26,0.5,1,46.4037425,46.9033309,46.9033309,46.9033309,47.2043907,right,1,1,1,0.5320422,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
27,0.5,1,47.4536337,47.9526641,47.9526641,47.9700023,48.2532912,right,1,1,1,0.4068352,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
28,0.5,0.5,48.3873855,48.8853387,48.8853387,48.9028607,49.1865425,right,0.5,1,1,0.4608406,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
29,0.5,0.5,49.384033,49.8687027,49.8687027,49.8863041,50.1694904,left,-0.5,0,0,0.484238,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
30,0.5,1,50.3837372,50.868506,50.868506,50.886235,51.1692529,right,1,1,1,0.6014118,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
31,0.5,1,51.4859734,51.9844558,51.9844558,52.0019748,,right,1,1,1,0.2467749,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
32,0.5,1,52.2525803,52.7523186,52.7523186,52.7523186,53.0521413,left,-1,0,0,0.39132,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
33,0.5,1.5,53.1827691,53.6681458,53.6681458,53.6856196,,left,-1.5,0,0,0.2537232,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
34,0.5,2,53.9649369,54.4501541,54.4501541,54.4667385,,right,2,1,1,0.2428113,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
35,0.5,2,54.7191219,55.2184641,55.2184641,55.2184641,,right,2,1,1,0.2495926,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
36,0.5,2,55.4847713,55.9852241,55.9852241,55.9852241,56.2844669,right,2,1,1,0.4737722,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
37,0.5,1.5,56.4848536,56.9845045,56.9845045,56.9845045,57.284134,right,1.5,1,1,0.395053,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
38,0.5,1.5,57.4147722,57.900247,57.900247,57.9183487,58.2011576,right,1.5,1,1,0.4041823,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
39,0.5,1.5,58.3343375,58.8335262,58.8335262,58.8495226,59.1339405,right,1.5,1,1,0.4369366,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
40,0.5,1,59.3005222,59.8001269,59.8001269,59.8001269,60.1007148,right,1,1,1,0.3820326,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
41,0.5,1,60.1995627,60.7006775,60.7006775,60.7006775,61.00046,right,1,1,1,0.3896137,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
42,0.5,1,61.131915,61.6137645,61.6137645,61.6466494,61.9145956,right,1,1,1,0.3898012,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
43,0.5,0.5,62.03077,62.5311195,62.5311195,62.5311195,62.8300429,right,0.5,1,1,0.6485268,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
44,0.5,0.5,63.1974555,63.6821872,63.6821872,63.6996258,63.9970882,left,-0.5,0,0,0.4840107,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
45,0.5,1,64.1959844,64.6790777,64.6790777,64.6960802,64.9791645,left,-1,1,1,0.6914904,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
46,0.5,1,65.3955383,65.8793912,65.8793912,65.895565,66.1819482,right,1,0,0,0.3826843,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
47,0.5,1.5,66.2818818,66.7814071,66.7814071,66.7814071,67.0963879,left,-1.5,1,1,0.5468333,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
48,0.5,1.5,67.3452689,67.8787832,67.8787832,67.8787832,68.1796107,right,1.5,1,1,0.771474,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
49,0.5,1.5,68.6805709,69.1782567,69.1782567,69.1782567,,left,-1.5,1,1,0.2609155,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
50,0.5,1,69.4612065,69.9611517,69.9611517,69.9611517,70.2609579,right,1,0,0,0.4536744,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
51,0.5,1.5,70.4445386,70.9275798,70.9275798,70.9443228,71.2274233,right,1.5,0,0,0.5290475,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
52,0.5,2,71.4773779,71.9606691,71.9606691,71.9773152,72.2604779,left,-2,1,1,0.4001249,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
53,0.5,2,72.3774812,72.8770487,72.8770487,72.8770487,73.1772049,right,2,0,0,0.5628781,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
54,0.5,2.5,73.4606187,73.9601416,73.9601416,73.9601416,74.2600682,left,-2.5,1,1,0.5312851,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
55,0.5,2.5,74.509967,74.9933911,74.9933911,75.0100303,75.2931489,right,2.5,1,1,0.4268045,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
56,0.5,2.5,75.4429607,75.9265711,75.9265711,75.9431708,,right,2.5,0,0,0.2423146,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
57,0.5,3,76.192924,76.6764766,76.6764766,76.693257,76.9760147,left,-3,1,1,0.7362724,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
58,0.5,3,77.4441775,77.9441066,77.9441066,77.9441066,78.2473226,left,-3,0,0,0.3827192,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
59,0.5,3.5,78.3448745,78.8435004,78.8435004,78.8597073,79.1422307,left,-3.5,1,1,0.4364935,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
60,0.5,3.5,79.3093037,79.8093961,79.8093961,79.8093961,80.1090584,right,3.5,1,1,0.5347532,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
61,0.5,3.5,80.3757157,80.8752937,80.8752937,80.8752937,81.1754686,right,3.5,1,1,0.5589149,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
62,0.5,3,81.4587429,81.9585843,81.9585843,81.9585843,82.2587184,right,3,1,1,0.532847,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
63,0.5,3,82.5082298,82.9918794,82.9918794,83.0080735,83.2916828,right,3,1,1,0.5648929,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
64,0.5,3,83.5746728,84.0748941,84.0748941,84.0748941,84.3744468,right,3,1,1,0.4085163,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
65,0.5,2.5,84.5082951,85.0076507,85.0076507,85.0076507,85.3094736,left,-2.5,1,1,0.7743316,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
66,0.5,2.5,85.8079083,86.2930611,86.2930611,86.3107488,86.5945225,right,2.5,1,1,0.5990641,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
67,0.5,2.5,86.9101963,87.4105132,87.4105132,87.4105132,87.7106119,left,-2.5,1,1,0.5484732,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
68,0.5,2,87.9771707,88.4773931,88.4773931,88.4773931,88.7771292,left,-2,1,1,0.6581437,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
69,0.5,2,89.1607278,89.6593908,89.6593908,89.6749055,89.956658,left,-2,0,0,0.6886454,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
70,0.5,2.5,90.3727232,90.857102,90.857102,90.8735389,91.1576683,left,-2.5,1,1,0.5993388,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
71,0.5,2.5,91.4738879,91.9728453,91.9728453,91.9894371,92.2726349,left,-2.5,1,1,0.5479846,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
72,0.5,2.5,92.539344,93.0230299,93.0230299,93.0398282,93.3250233,right,2.5,0,0,0.486434,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
73,0.5,3,93.5419868,94.0414751,94.0414751,94.0414751,94.355381,left,-3,1,1,0.7183293,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
74,0.5,3,94.789033,95.2725913,95.2725913,95.2894262,95.5751429,right,3,1,1,0.5982316,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
75,0.5,3,95.8907997,96.3918484,96.3918484,96.3918484,96.7057221,right,3,1,1,0.48002,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
76,0.5,2.5,96.8894653,97.3894007,97.3894007,97.3894007,97.6887737,left,-2.5,1,1,0.6377597,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
77,0.5,2.5,98.0553609,98.5554674,98.5554674,98.5554674,98.8550164,right,2.5,1,1,0.6380272,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
78,0.5,2.5,99.221614,99.7211082,99.7211082,99.7211082,100.0208284,left,-2.5,1,1,0.6358968,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
79,0.5,2,100.3730619,100.8714577,100.8714577,100.8885381,101.1712467,left,-2,1,1,0.8477182,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
80,0.5,2,101.7397975,102.2377724,102.2377724,102.2546911,102.537425,left,-2,0,0,0.6632765,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
81,0.5,2.5,102.9206709,103.4207146,103.4207146,103.4207146,103.7206838,left,-2.5,1,1,0.5679043,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
82,0.5,2.5,104.0196154,104.5199506,104.5199506,104.5199506,104.8201275,right,2.5,1,1,0.5233042,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
83,0.5,2.5,105.0713586,105.5702036,105.5702036,105.5867546,105.8699502,right,2.5,1,1,0.6330172,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
84,0.5,2,106.2210375,106.7048449,106.7048449,106.721552,107.0060492,right,2,1,1,0.6120698,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
85,0.5,2,107.3388445,107.8386988,107.8386988,107.8386988,108.1386454,left,-2,1,1,0.7004671,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
86,0.5,2,108.5551462,109.056674,109.056674,109.056674,109.3722005,right,2,1,1,0.9036796,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
87,0.5,1.5,109.9875345,110.487991,110.487991,110.487991,110.7883754,left,-1.5,1,1,0.7441737,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
88,0.5,1.5,111.2542416,111.7543877,111.7543877,111.7543877,112.0561823,right,1.5,1,1,0.7790574,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
89,0.5,1.5,112.5543256,113.0544612,113.0544612,113.0544612,113.3543712,left,-1.5,0,0,0.6826123,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
90,0.5,2,113.753879,114.2538785,114.2538785,114.2538785,114.5547238,right,2,1,1,0.682664,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
91,0.5,2,114.9536781,115.4532796,115.4532796,115.4532796,115.7534901,left,-2,1,1,0.9129269,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
92,0.5,2,116.3870495,116.870144,116.870144,116.8862762,117.1697897,right,2,1,1,0.545351,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
93,0.5,1.5,117.4358205,117.9362709,117.9362709,117.9362709,118.2365841,right,1.5,1,1,0.6977334,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
94,0.5,1.5,118.6522552,119.1519961,119.1519961,119.1519961,119.4668724,left,-1.5,1,1,0.8576527,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
95,0.5,1.5,120.0357828,120.5357215,120.5357215,120.5357215,120.8362315,left,-1.5,0,0,0.8698166,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
96,0.5,2,121.4362858,121.9356449,121.9356449,121.9517977,122.2356864,left,-2,1,1,0.744983,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
97,0.5,2,122.7030703,123.2009502,123.2009502,123.2187725,123.5019117,right,2,1,1,0.5601656,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
98,0.5,2,123.7852535,124.2850859,124.2850859,124.2850859,124.5850193,left,-2,1,1,0.716159,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
99,0.5,1.5,125.0181617,125.517459,125.517459,125.517459,125.8174192,right,1.5,1,1,1.0155297,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
100,0.5,1.5,126.5646675,127.0511973,127.0511973,127.068149,127.3515943,right,1.5,1,1,0.7561521,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
