trials.thisTrialN,trials.stepSize,trials.intensity,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,corrAns,tilt,key_resp.corr,trials.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate
101,0.5,1.5,127.8333689,128.3333494,128.3333494,128.3333494,128.6341317,left,-1.5,1,1,0.8280598,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
102,0.5,1,129.1982668,129.6830077,129.6830077,129.6995463,129.9832225,left,-1,1,1,0.6520968,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
103,0.5,1,130.3505372,130.8491498,130.8491498,130.8695026,131.1502666,right,1,0,0,0.6615904,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
104,0.5,1.5,131.5334266,132.0329319,132.0329319,132.0329319,132.3332993,left,-1.5,1,1,0.7357233,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
105,0.5,1.5,132.7996109,133.2997402,133.2997402,133.2997402,133.5992093,left,-1.5,1,1,0.5505874,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
106,0.5,1.5,133.8665601,134.3664251,134.3664251,134.3664251,134.6660569,right,1.5,1,1,0.6987215,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
107,0.5,1,135.0816929,135.5812659,135.5812659,135.5963357,135.8810917,left,-1,0,0,0.6986796,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
108,0.5,1.5,136.2976768,136.7989502,136.7989502,136.7989502,137.1147215,right,1.5,1,1,0.5757749,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
109,0.5,1.5,137.4143424,137.8977047,137.8977047,137.914354,138.2121363,right,1.5,1,1,0.5489752,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
110,0.5,1.5,138.4660892,138.9658991,138.9658991,138.9818539,139.278376,right,1.5,1,1,0.3623075,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
111,0.5,1,139.3449438,139.8304048,139.8304048,139.847228,140.1320435,left,-1,0,0,0.476336,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
112,0.5,1.5,140.3276129,140.8144419,140.8144419,140.8312665,141.1140071,right,1.5,1,1,0.3640219,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
113,0.5,1.5,141.1971743,141.7018768,141.7018768,141.7018768,142.0142463,left,-1.5,0,0,0.35058,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
114,0.5,2,142.0828437,142.5821736,142.5821736,142.597505,142.8977453,left,-2,0,0,0.4410069,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
115,0.5,2.5,143.0462083,143.5467455,143.5467455,143.5467455,143.8467203,left,-2.5,0,0,0.2738736,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
116,0.5,3,143.8467203,144.3476084,144.3476084,144.3476084,144.6465207,right,3,1,1,0.3131253,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
117,0.5,3,144.6801272,145.1803195,145.1803195,145.1803195,145.4799362,right,3,1,1,0.4406566,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
118,0.5,3,145.645704,146.1461518,146.1461518,146.1461518,146.4464847,left,-3,0,0,0.2862369,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
119,0.5,3.5,146.4635733,146.9628066,146.9628066,146.9628066,147.2789746,left,-3.5,0,0,0.3218856,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
120,0.5,4,147.3120248,147.8098784,147.8098784,147.8260177,148.110829,left,-4,0,0,0.311428,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
121,0.5,4.5,148.1447326,148.6285535,148.6285535,148.6461986,148.9299867,left,-4.5,0,0,0.3402383,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
122,0.5,5,148.995891,149.4949679,149.4949679,149.5115079,149.7955694,left,-5,0,0,0.5109288,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
123,0.5,5.5,150.0282578,150.5288594,150.5288594,150.5288594,150.8287958,left,-5.5,0,0,0.4004725,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
124,0.5,6,150.9455054,151.4442789,151.4442789,151.4442789,151.7454075,left,-6,0,0,0.3743244,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
125,0.5,6.5,151.8455869,152.3442641,152.3442641,152.3442641,152.6447229,left,-6.5,0,0,0.4599121,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
126,0.5,7,152.8283684,153.327917,153.327917,153.327917,153.6284486,left,-7,1,1,0.7543562,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
127,0.5,7,154.1104453,154.6121973,154.6121973,154.6121973,154.9110586,right,7,1,1,0.3608116,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
128,0.5,7,154.994069,155.4943602,155.4943602,155.4943602,155.7942805,right,7,1,1,0.4600237,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
129,0.5,6.5,155.9780156,156.4771093,156.4771093,156.4771093,156.7776968,left,-6.5,1,1,0.585951,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
130,0.5,6.5,157.0939485,157.5937917,157.5937917,157.5937917,157.8945442,left,-6.5,1,1,0.4381883,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
131,0.5,6.5,158.0611339,158.5591555,158.5591555,158.577663,158.8604172,right,6.5,1,1,0.5769164,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
132,0.5,6,159.1744414,159.6590994,159.6590994,159.6756457,159.9588302,right,6,1,1,0.4900877,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
133,0.5,6,160.1920704,160.6772707,160.6772707,160.6930042,160.9765217,left,-6,1,1,1.0268858,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
134,0.5,6,161.7265844,162.2260322,162.2260322,162.2260322,162.5260203,right,6,1,1,0.4184612,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
135,0.5,5.5,162.6732815,163.1580508,163.1580508,163.1755848,163.4595003,left,-5.5,1,1,0.5852915,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
136,0.5,5.5,163.7730952,164.2578329,164.2578329,164.2745865,164.5589174,left,-5.5,0,0,0.4245538,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
137,0.5,6,164.7221051,165.2065485,165.2065485,165.2232612,165.5066574,right,6,1,1,0.975123,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
138,0.5,6,166.2050043,166.6919365,166.6919365,166.7081422,166.991699,left,-6,1,1,0.5923828,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
139,0.5,6,167.3081185,167.808499,167.808499,167.808499,168.1080795,left,-6,1,1,0.695123,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
140,0.5,5.5,168.5245645,169.0243842,169.0243842,169.0243842,169.3242149,right,5.5,1,1,0.632516,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
141,0.5,5.5,169.6746823,170.1752293,170.1752293,170.1752293,170.4904276,right,5.5,1,1,0.4562807,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
142,0.5,5.5,170.6548661,171.1543571,171.1543571,171.1742044,171.457028,right,5.5,1,1,0.4957692,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
143,0.5,5,171.673349,172.1725716,172.1725716,172.1725716,172.4739166,left,-5,1,1,0.6974447,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
144,0.5,5,172.889879,173.3903885,173.3903885,173.3903885,173.6903472,right,5,1,1,0.5206047,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
145,0.5,5,173.9401757,174.4409703,174.4409703,174.4409703,174.7398372,right,5,1,1,0.6331072,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
146,0.5,4.5,175.1042543,175.6027925,175.6027925,175.6219657,175.9046654,right,4.5,1,1,0.6125697,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
147,0.5,4.5,176.2382842,176.7394366,176.7394366,176.7394366,177.0394848,left,-4.5,1,1,0.5953686,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
148,0.5,4.5,177.3557261,177.8552143,177.8552143,177.8724244,178.1554395,left,-4.5,1,1,0.648127,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
149,0.5,4,178.5213097,179.0224861,179.0224861,179.0224861,179.3218497,left,-4,1,1,0.6190466,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
150,0.5,4,179.6717537,180.1709518,180.1709518,180.1709518,180.4714642,left,-4,1,1,0.6290876,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
151,0.5,4,180.8214534,181.321918,181.321918,181.321918,181.6215531,left,-4,1,1,0.6309128,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
152,0.5,3.5,181.9715803,182.4713355,182.4713355,182.4713355,182.7705854,left,-3.5,1,1,0.6159688,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
153,0.5,3.5,183.1044972,183.6040707,183.6040707,183.6040707,183.9044919,left,-3.5,1,1,0.7125301,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
154,0.5,3.5,184.3363242,184.8364802,184.8364802,184.8364802,185.1377903,left,-3.5,1,1,0.9897544,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
155,0.5,3,185.8526941,186.3534167,186.3534167,186.3534167,186.6534955,left,-3,1,1,0.9033604,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
156,0.5,3,187.2865138,187.7863588,187.7863588,187.7863588,188.0866618,right,3,1,1,0.3917174,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
157,0.5,3,188.2029666,188.6861383,188.6861383,188.7021737,188.9873211,left,-3,1,1,0.5338507,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
158,0.5,2.5,189.2363251,189.7360696,189.7360696,189.7360696,190.0360551,right,2.5,1,1,0.7790379,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
159,0.5,2.5,190.5501573,191.0359279,191.0359279,191.0522315,191.3353503,left,-2.5,1,1,0.645924,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
160,0.5,2.5,191.7022081,192.2023473,192.2023473,192.2023473,192.5023059,right,2.5,0,0,0.5487292,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
161,0.5,3,192.7687331,193.2677947,193.2677947,193.2852679,193.5686182,left,-3,1,1,0.5599726,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
162,0.5,3,193.8655519,194.3509407,194.3509407,194.3680358,194.6518682,right,3,0,0,0.4198848,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
163,0.5,3.5,194.8025668,195.3010084,195.3010084,195.3178729,195.601167,left,-3.5,1,1,0.607128,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
164,0.5,3.5,195.9344841,196.4352639,196.4352639,196.4352639,196.7345841,right,3.5,0,0,0.5217015,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
165,0.5,4,196.998302,197.4835814,197.4835814,197.5002821,197.7842376,left,-4,1,1,0.8933996,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
166,0.5,4,198.4008808,198.9004222,198.9004222,198.9004222,199.2007805,right,4,1,1,0.4389312,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
167,0.5,4,199.367191,199.8666092,199.8666092,199.8666092,200.1665432,right,4,1,1,0.7751671,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
168,0.5,3.5,200.6670153,201.167045,201.167045,201.167045,201.4667091,right,3.5,1,1,0.7378139,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
169,0.5,3.5,201.9333436,202.4331297,202.4331297,202.4331297,202.7328324,right,3.5,1,1,0.5479029,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
170,0.5,3.5,203.012727,203.498591,203.498591,203.5164253,203.7991639,left,-3.5,1,1,0.5823958,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
171,0.5,3,204.0976287,204.5815119,204.5815119,204.5981974,204.8825735,left,-3,1,1,0.663924,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
172,0.5,3,205.2657761,205.7656976,205.7656976,205.7656976,206.0666924,left,-3,1,1,0.3887125,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
173,0.5,3,206.1819919,206.6818456,206.6818456,206.6818456,206.9826664,left,-3,1,1,0.4788894,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
174,0.5,2.5,207.1822562,207.6815528,207.6815528,207.6815528,207.9815833,right,2.5,0,0,0.6454977,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
175,0.5,3,208.3505241,208.8480657,208.8480657,208.8636803,209.1476972,right,3,0,0,0.8263811,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
176,0.5,3.5,209.697793,210.1995677,210.1995677,210.1995677,210.5149795,right,3.5,0,0,0.4690993,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
177,0.5,4,210.6976659,211.1977652,211.1977652,211.1977652,211.4975169,right,4,1,1,0.5040044,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
178,0.5,4,211.7308269,212.2315839,212.2315839,212.2315839,212.5471101,left,-4,1,1,0.3828523,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
179,0.5,4,212.6308633,213.1308882,213.1308882,213.1308882,213.4305471,left,-4,1,1,0.5177519,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
180,0.5,3.5,213.6805183,214.1804913,214.1804913,214.1804913,214.4811057,left,-3.5,1,1,0.4108308,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
181,0.5,3.5,214.6135087,215.113106,215.113106,215.113106,215.4131381,left,-3.5,1,1,0.4182158,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
182,0.5,3.5,215.5640492,216.0628329,216.0628329,216.0796558,216.3632165,right,3.5,1,1,0.3062219,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
183,0.5,3,216.3971988,216.8967258,216.8967258,216.8967258,217.1962707,right,3,1,1,0.4853315,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
184,0.5,3,217.4137261,217.9119016,217.9119016,217.9285743,218.2133954,right,3,0,0,0.402966,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
185,0.5,3.5,218.3464527,218.8460902,218.8460902,218.861554,219.1464571,right,3.5,1,1,0.476439,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
186,0.5,3.5,219.3460893,219.8451106,219.8451106,219.8612129,220.1455285,left,-3.5,1,1,0.6160556,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
187,0.5,3.5,220.4792897,220.9788936,220.9788936,220.9788936,221.2786463,left,-3.5,1,1,0.8231969,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
188,0.5,3,221.8284129,222.3284815,222.3284815,222.3284815,222.628589,left,-3,1,1,0.4253261,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
189,0.5,3,222.7777191,223.2778365,223.2778365,223.2778365,223.5781914,left,-3,1,1,0.458563,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
190,0.5,3,223.7612787,224.2611955,224.2611955,224.2611955,224.5623095,left,-3,1,1,0.6532449,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
191,0.5,2.5,224.9445214,225.4442134,225.4442134,225.4442134,225.744116,left,-2.5,1,1,0.3310851,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
192,0.5,2.5,225.7939046,226.2938637,226.2938637,226.2938637,226.5942413,right,2.5,0,0,0.3977978,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
193,0.5,3,226.7096162,227.2111103,227.2111103,227.2111103,227.5104332,left,-3,1,1,0.471667,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
194,0.5,3,227.7102309,228.2098633,228.2098633,228.2098633,228.5101478,right,3,0,0,0.3044783,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
195,0.5,3.5,228.5437462,229.0426151,229.0426151,229.059834,229.3436459,right,3.5,0,0,0.4836037,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
196,0.5,4,229.543431,230.0440513,230.0440513,230.0440513,230.3431586,left,-4,0,0,0.305775,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
197,0.5,4.5,230.3763325,230.8758872,230.8758872,230.8758872,231.1762012,right,4.5,0,0,0.4353686,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
198,0.5,5,231.3427289,231.8424958,231.8424958,231.8424958,232.1424039,left,-5,1,1,0.5866667,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
199,0.5,5,232.45999,232.958751,232.958751,232.9754496,233.258707,left,-5,1,1,0.6600398,95371,1,2023-09-17_11h47.03.025,Adaptive staircase_1,2023.1.3,60.02019079
